"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","VVHFpTkvtp2","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","FtKeuScH4zG","NbvMUkJmS5N","34",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","BXVSBShabAV","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","fKutkl1woOh","NbvMUkJmS5N","34",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","wzERTiClETp","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","VJLbRW6R553","NbvMUkJmS5N","34",,
"Z5kOeISUYMI","2017","wDMlEPzlByw","Gm6B7Z9Tbxs","NbvMUkJmS5N","0",,
"Z5kOeISUYMI","2017","wDMlEPzlByw","xP7pDf7Dsya","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","wDMlEPzlByw","cYxMZbJKie1","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","wDMlEPzlByw","KLEhX0pJjLD","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","wDMlEPzlByw","p9ngKMI1HlP","NbvMUkJmS5N","0",,
