"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","GWDE9M05Fyf","NbvMUkJmS5N","21",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","yboc4U6mh3p","NbvMUkJmS5N","20",,
"bhZUgdZZHMq","2017","APRSsUJAVrP","Gm6B7Z9Tbxs","AvKGVOKhI0t","1",,
"bhZUgdZZHMq","2017","APRSsUJAVrP","xP7pDf7Dsya","AvKGVOKhI0t","19",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","cYxMZbJKie1","AvKGVOKhI0t","8",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","KLEhX0pJjLD","AvKGVOKhI0t","7",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","p9ngKMI1HlP","AvKGVOKhI0t","7",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","ICQVBpakGjE","AvKGVOKhI0t","4",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","LXuJtbiUk7o","AvKGVOKhI0t","21",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","R54ocOMuaZA","AvKGVOKhI0t","4",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","CuAKN91lKD6","AvKGVOKhI0t","201",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","MEQrzTnlr9a","AvKGVOKhI0t","92",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","VVHFpTkvtp2","AvKGVOKhI0t","201",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","FtKeuScH4zG","AvKGVOKhI0t","92",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","BXVSBShabAV","AvKGVOKhI0t","201",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","fKutkl1woOh","AvKGVOKhI0t","92",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","wzERTiClETp","AvKGVOKhI0t","201",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","VJLbRW6R553","AvKGVOKhI0t","92",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","GWDE9M05Fyf","AvKGVOKhI0t","37",,
"JxBTk0UYjjf","2017","APRSsUJAVrP","yboc4U6mh3p","AvKGVOKhI0t","30",,
"bhZUgdZZHMq","2017","KRC06WZHgOL","Gm6B7Z9Tbxs","IpcHlwXHAL4","1",,
"bhZUgdZZHMq","2017","KRC06WZHgOL","xP7pDf7Dsya","IpcHlwXHAL4","17",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","cYxMZbJKie1","IpcHlwXHAL4","7",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","KLEhX0pJjLD","IpcHlwXHAL4","7",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","p9ngKMI1HlP","IpcHlwXHAL4","9",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","ICQVBpakGjE","IpcHlwXHAL4","5",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","LXuJtbiUk7o","IpcHlwXHAL4","27",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","R54ocOMuaZA","IpcHlwXHAL4","5",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","CuAKN91lKD6","IpcHlwXHAL4","253",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","MEQrzTnlr9a","IpcHlwXHAL4","116",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","VVHFpTkvtp2","IpcHlwXHAL4","253",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","FtKeuScH4zG","IpcHlwXHAL4","116",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","BXVSBShabAV","IpcHlwXHAL4","253",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","fKutkl1woOh","IpcHlwXHAL4","116",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","wzERTiClETp","IpcHlwXHAL4","253",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","VJLbRW6R553","IpcHlwXHAL4","116",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","GWDE9M05Fyf","IpcHlwXHAL4","46",,
"JxBTk0UYjjf","2017","KRC06WZHgOL","yboc4U6mh3p","IpcHlwXHAL4","39",,
"bhZUgdZZHMq","2017","Wd7fRx7kIDT","Gm6B7Z9Tbxs","AvKGVOKhI0t","3",,
"bhZUgdZZHMq","2017","Wd7fRx7kIDT","xP7pDf7Dsya","AvKGVOKhI0t","46",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","cYxMZbJKie1","AvKGVOKhI0t","19",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","KLEhX0pJjLD","AvKGVOKhI0t","16",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","p9ngKMI1HlP","AvKGVOKhI0t","22",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","ICQVBpakGjE","AvKGVOKhI0t","12",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","LXuJtbiUk7o","AvKGVOKhI0t","67",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","R54ocOMuaZA","AvKGVOKhI0t","12",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","CuAKN91lKD6","AvKGVOKhI0t","632",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","MEQrzTnlr9a","AvKGVOKhI0t","289",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","VVHFpTkvtp2","AvKGVOKhI0t","632",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","FtKeuScH4zG","AvKGVOKhI0t","289",,
